,state,year,enroll,total_rev,fed_rev,st_rev,loc_rev,total_exp,instruction_exp,service_exp,other_exp,capital_exp,rev_per_student,exp_per_student,ins_exp_per_student
101,Wyoming,1993,100313.0,615130,35437,308683,271010,614807,334071,193624,21047.0,48076,6.132106506634235,6.128886584988985,3.3302862041809136
102,Alabama,1994,730004.0,2970223,331823,1850894,787506,3103266,1697593,826442,306977.0,231508,4.068776335472134,4.251026021775223,2.3254571207829
103,Alaska,1994,123868.0,1052282,134168,668229,249885,1116160,516242,446458,36589.0,98486,8.495188426389383,9.010882552394484,4.167678496463978
104,Arizona,1994,708482.0,3566586,348847,1478372,1739367,3803379,1652311,1054136,183778.0,696618,5.0341236615750296,5.36834951346682,2.332184868493483
105,Arkansas,1994,312695.0,1393287,132108,810396,450783,1445984,816270,403608,75434.0,105349,4.455738019475847,4.624263259725931,2.610435088504773
106,California,1994,4120498.0,23440845,2095878,13175550,8169417,23012688,12443864,6754346,1615630.0,1916061,5.688837854065213,5.584928812002821,3.0199903021430905
107,Colorado,1994,549570.0,3061865,165539,1269532,1626794,3113755,1574164,977343,95796.0,328219,5.571383081318121,5.665802354568117,2.8643557690558072
108,Connecticut,1994,479522.0,4268860,142392,1537064,2589404,4132350,2431273,1221662,150749.0,53083,8.902323563882366,8.617644237386397,5.070201158653826
109,Delaware,1994,103782.0,705798,50572,447430,207796,732323,413915,217782,30320.0,50805,6.80077470081517,7.056358520745409,3.9883120386964985
110,District of Columbia,1994,80678.0,735720,79432,0,656288,769818,351028,332951,63271.0,22568,9.119214655792161,9.541857755521951,4.350975482783411
111,Florida,1994,2039884.0,12315950,890498,6158417,5267035,12469073,5715125,3849613,898855.0,1769738,6.037573705171471,6.112638267666201,2.8016911745962023
112,Georgia,1994,1235304.0,6824191,449430,3473578,2901183,6597359,3509251,1862815,405376.0,723316,5.524300900830888,5.34067646506447,2.8407995116991445
113,Hawaii,1994,181212.0,1133949,77993,1025813,30143,1146267,615270,322736,93482.0,114779,6.257582279319251,6.325557910072181,3.395304946692272
114,Idaho,1994,236774.0,949999,77626,576106,296267,974781,538783,273654,44562.0,99924,4.012260636725316,4.11692584489851,2.2755158927922827
115,Illinois,1994,1875956.0,11309803,628532,3697747,6983524,10743708,5727974,3468903,446271.0,508619,6.028821038446531,5.7270575642499075,3.053362658825687
116,Indiana,1994,963071.0,6121754,286351,2754602,3080801,6061435,3003825,1743788,273493.0,551285,6.356492927312732,6.293860992595562,3.1190068021983843
117,Iowa,1994,497925.0,2987394,139312,1339912,1508170,2974072,1551221,858078,120252.0,195410,5.999686699804188,5.972931666415625,3.1153707887734097
118,Kansas,1994,457744.0,2700587,134686,1540727,1025174,2643192,1371720,856673,156331.0,172340,5.899775857247719,5.774389178230627,2.9966968436505996
119,Kentucky,1994,490069.0,2491948,238630,1561340,691978,2392549,1310208,761029,145930.0,126669,5.084892127435117,4.882065586682692,2.673517402651463
120,Louisiana,1994,798312.0,3571864,437307,1914388,1220169,3539581,1952186,1033282,270613.0,197625,4.474270711200633,4.433831634749321,2.4453922777059596
121,Maine,1994,211731.0,1357116,77393,609841,669882,1338353,799103,325201,72234.0,73376,6.40962353174547,6.321006371291875,3.7741426621515037
122,Maryland,1994,772638.0,5141505,258611,2002382,2880512,5187683,2812922,1673254,254041.0,387699,6.654481141233022,6.714247810747077,3.640672604764456
123,Massachusetts,1994,877384.0,6410757,312111,2119446,3979200,6391131,3536321,1914124,189810.0,282757,7.3066718791316,7.284303110154733,4.030528252167808
124,Michigan,1994,1601845.0,11762546,658039,3489815,7614692,12023935,5825127,3912910,803226.0,877390,7.343123710471363,7.5063036685821665,3.6365110232263422
125,Minnesota,1994,802913.0,5262482,224106,2822949,2215427,5581140,2876527,1388180,490949.0,565106,6.554236884942703,6.951114255218187,3.582613558380547
126,Mississippi,1994,503374.0,1911579,296345,1048767,566467,1919812,1072529,515600,148515.0,159184,3.7975322523610675,3.813887884555023,2.1306801702114133
127,Missouri,1994,852324.0,4488359,294270,2089445,2104644,4575564,2396531,1349465,245316.0,443146,5.2660244226374004,5.368338800737748,2.8117605511519095
128,Montana,1994,163968.0,878986,83029,446392,349565,878084,508299,271711,36336.0,50333,5.360716725214676,5.355215651834504,3.0999890222482436
129,Nebraska,1994,283962.0,1710913,101579,528743,1080591,1769248,1033858,447649,63108.0,173484,6.025147731034434,6.230580148047978,3.640832224029976
130,Nevada,1994,235800.0,1266549,56664,817216,392669,1344245,654272,406932,44739.0,184082,5.371284987277353,5.700784563189143,2.7746904156064462
131,New Hampshire,1994,181688.0,1145147,37805,89556,1017786,1119762,648513,316069,38919.0,34260,6.302821320065167,6.1631037823081325,3.5693771740566245
132,New Jersey,1994,651554.0,6957898,293378,3102722,3561798,6765105,3522248,2430560,268715.0,320715,10.678927609990883,10.38303041651191,5.40591877265737
133,New Mexico,1994,286759.0,1342868,164101,982237,196530,1223759,622138,391385,63549.0,129528,4.682914921589209,4.267552195397529,2.1695500402777244
134,New York,1994,2702937.0,23933662,1442038,9092275,13399349,25359726,14829280,6782725,992378.0,1717307,8.85468732715561,9.382285269689971,5.486357987626053
135,North Carolina,1994,1131662.0,5648390,454682,3553217,1640491,5740906,3161072,1629603,362721.0,490626,4.991234131746052,5.07298645708701,2.793300473109462
136,North Dakota,1994,118778.0,603902,65506,247062,291334,621313,319014,158223,46522.0,50938,5.084291703850882,5.230876088164475,2.6858004007476133
137,Ohio,1994,1816817.0,10735756,537642,4271944,5926170,10780138,5785984,3675789,472696.0,658754,5.909101467016216,5.933529904222604,3.1846817813791923
138,Oklahoma,1994,316322.0,1518540,120788,839113,558639,1529205,765718,473061,116301.0,129800,4.800614563640847,4.834330207826202,2.420691573776089
139,Oregon,1994,518425.0,3088542,212544,1215471,1660527,3191792,1719357,1068111,110201.0,223352,5.957548343540531,6.156709263635048,3.31650094034817
140,Pennsylvania,1994,1720681.0,13271564,686113,5132066,7453385,13701725,7100564,3795048,703486.0,963256,7.7129717826837165,7.962966406905173,4.126601037612434
141,Rhode Island,1994,144918.0,1012987,48443,385626,578918,994885,642068,300816,14152.0,14866,6.990070246622228,6.865158227411364,4.430560730896093
142,South Carolina,1994,634415.0,3179542,285908,1470131,1423503,3156251,1646310,961618,211713.0,251078,5.011769898252721,4.975057336286185,2.5950048469850175
143,South Dakota,1994,108439.0,507927,51846,126591,329490,525289,284638,148152,23351.0,52745,4.683988233015797,4.844096681083374,2.624867436992226
144,Tennessee,1994,857014.0,3535898,341912,1694595,1499391,3661470,2101003,996094,225590.0,270608,4.125834583799098,4.272357277710749,2.451538714653436
145,Texas,1994,3601627.0,19713604,1456330,8569649,9687625,19224149,9814470,6093204,936331.0,1717181,5.473527380819835,5.337629077080997,2.725010113484822
146,Utah,1994,469811.0,1792011,125520,982848,683643,1846448,997141,413388,137271.0,256177,3.8143232065660446,3.930193205352791,2.122430083586804
147,Vermont,1994,98377.0,892124,34989,219927,637208,869710,419793,203059,25011.0,38902,9.068420464132876,8.840582656515242,4.267186435853909
148,Virginia,1994,1044721.0,6125739,372866,2399644,3353229,6276362,3271356,1883438,314439.0,587495,5.8635166709580835,6.0076920058082495,3.1313202280800327
149,Washington,1994,915952.0,5739012,327784,3978265,1432963,5968590,2918426,1741684,252127.0,840257,6.265625272940067,6.516269411497546,3.186221548727444
150,West Virginia,1994,313750.0,1854403,147289,1185501,521613,1843973,1051169,507996,116579.0,151404,5.91044780876494,5.877204780876494,3.3503394422310757
151,Wisconsin,1994,843747.0,5682439,238786,2363863,3079790,5860230,3257526,1689034,193556.0,504767,6.734766464354836,6.94548247282657,3.8607852827921167
152,Wyoming,1994,100899.0,674921,38849,351472,284600,623146,344562,192234,21161.0,48647,6.689075213827689,6.175938314552176,3.414919870365415
153,Alabama,1995,727480.0,3367437,328957,2161366,877114,3353363,1851700,888983,326956.0,243365,4.6289066366085665,4.609560400285918,2.545362071809534
154,Alaska,1995,125421.0,1117068,123037,710028,284003,1203817,515914,469085,37579.0,159146,8.906546750544168,9.598209231308951,4.11345787388077
155,Arizona,1995,735018.0,3815218,376437,1669173,1769608,4056279,1772388,1131046,226507.0,710135,5.190645671262472,5.518611789099042,2.411353191350416
156,Arkansas,1995,447757.0,2057550,197556,1244457,615537,2155067,1211057,598109,119934.0,160693,4.595238042062994,4.813028048696056,2.7047193008707846
157,California,1995,5299405.0,29512214,2612241,15541486,11358487,30097549,16146416,8603751,2181053.0,2669270,5.568967459554422,5.679420425500599,3.0468356353213237
158,Colorado,1995,639805.0,3709875,201341,1577988,1930546,3766191,1896225,1174299,115636.0,449501,5.7984464016379995,5.886466970405046,2.963754581474043
159,Connecticut,1995,489513.0,4420632,147466,1622686,2650480,4252186,2596475,1245242,137005.0,91833,9.030673342689571,8.686563993193236,5.304200297029905
160,Delaware,1995,106813.0,802018,51682,510473,239863,772669,431433,236288,35495.0,50074,7.508617864866636,7.233847939857508,4.039143175456171
161,District of Columbia,1995,80450.0,700111,65527,0,634584,708224,336543,301371,38207.0,32103,8.702436295835923,8.80328154133002,4.1832566811684275
